brain,condition,label,area_name,area_mm2,pixel_count
D079_4L,enucleated,248,"Retrosplenial area, lateral agranular part",2.92717786877,12809
D079_4L,enucleated,249,Ectorhinal area,1.44777431197,6578
D079_4L,enucleated,259,Perirhinal area,0.00333707169393,17
D079_4L,enucleated,280,Prelimbic area,1.64415213403,8211
D079_4L,enucleated,284,Primary motor area,6.69525845926,28433
D079_4L,enucleated,288,Secondary motor area,8.3332548671,35078
D076_4L,enucleated,5,Primary auditory area,1.87714947809,7113
D076_4L,enucleated,9,Dorsal auditory area,0.732685780242,2724
D076_4L,enucleated,12,Ventral auditory area,0.98164097704,3894
D076_4L,enucleated,15,Posterior auditory area,0.516182368186,2045
D076_4L,enucleated,20,"Agranular insular area, dorsal part",3.7749004775,15614
D076_4L,enucleated,25,Gustatory areas,1.2187562201,5376
D076_4L,enucleated,39,"Agranular insular area, posterior part",1.92556713868,9450
D076_4L,enucleated,44,"Agranular insular area, ventral part",0.0585788184474,292
D076_4L,enucleated,78,Anterior area,1.29446463055,4875
D076_4L,enucleated,80,Postrhinal area,1.88407365765,10019
D076_4L,enucleated,87,"Primary somatosensory area, barrel field",5.55518387127,21313
D076_4L,enucleated,90,"Primary somatosensory area, lower limb",0.658777570912,2731
D076_4L,enucleated,93,"Primary somatosensory area, mouth",4.45431101199,18220
D076_4L,enucleated,97,"Primary somatosensory area, nose",0.504311299906,1919
D076_4L,enucleated,100,"Primary somatosensory area, trunk",1.66356393795,6485
D076_4L,enucleated,103,"Primary somatosensory area, upper limb",1.54371019247,6653
D076_4L,enucleated,106,Supplemental somatosensory area,4.77703385232,18063
D076_4L,enucleated,110,Primary visual area,8.44158159034,35084
D076_4L,enucleated,112,"Anterior cingulate area, dorsal part",3.34961329329,12931
D076_4L,enucleated,113,Anteromedial visual area,0.120428446113,457
D076_4L,enucleated,117,Anterolateral visual area,0.74565569816,2774
D076_4L,enucleated,120,Lateral visual area,1.15968326444,4924
D076_4L,enucleated,121,Rostrolateral visual area,0.617672962442,2285
D076_4L,enucleated,123,Posterolateral visual area,1.02278223419,4136
D076_4L,enucleated,125,Infralimbic area,0.999298674458,2117
D076_4L,enucleated,134,"Anterior cingulate area, ventral part",3.94433672253,17762
D076_4L,enucleated,159,posteromedial visual area,0.659240050408,2471
D076_4L,enucleated,161,Temporal association areas,2.35866596705,10469
D076_4L,enucleated,185,Visceral area,1.56546865385,6355
D076_4L,enucleated,198,"Orbital area, lateral part",3.56875389448,15765
D076_4L,enucleated,243,"Retrosplenial area, dorsal part",3.94918171998,21390
D076_4L,enucleated,246,"Retrosplenial area, ventral part",5.83890369844,29416
D076_4L,enucleated,248,"Retrosplenial area, lateral agranular part",4.35950297911,20045
D076_4L,enucleated,249,Ectorhinal area,2.18318507773,9984
D076_4L,enucleated,280,Prelimbic area,2.71215639955,11734
D076_4L,enucleated,284,Primary motor area,8.18858889347,34663
D076_4L,enucleated,288,Secondary motor area,7.9993595447,34197
