label,cell_type,mean_attention,sem,count
Perirhinal area,RSP/ACA UL,0.0358984253623,0.00175258491968,22
Anterolateral visual area,L6b/CT,0.0358896723194,0.002745264681,137
Temporal association areas,ENT L6b,0.03577607052,0.000553644703734,1428
Primary visual area,Unclear,0.0357567889011,0.00166355002748,604
"Retrosplenial area, dorsal part",HIP SUB,0.0357518849963,0.00106209849343,299
Primary auditory area,L4/5 IT,0.0357417230663,9.80589041581e-05,70859
"Retrosplenial area, dorsal part",ENT ML,0.0356410759401,0.00127986426786,271
posteromedial visual area,TT,0.0356125831604,0.0,2
Posterior auditory area,L6b/CT,0.0355982615834,0.00153379839667,210
Ectorhinal area,L6b,0.0355435092237,0.00031134875173,7771
Temporal association areas,Car3,0.0355323024123,0.000157300808707,16042
"Retrosplenial area, dorsal part",L6b/CT,0.0355211192796,0.000965649264092,377
Posterolateral visual area,ENT DL,0.0354778727954,0.000340779940674,4654
"Primary somatosensory area, barrel field",Car3,0.0354703504143,0.000944651472059,846
Primary visual area,PPP,0.0354498825991,0.00129134644969,317
Anterolateral visual area,L4/5 IT,0.0354240453205,0.000201049749875,27890
Postrhinal area,PPP,0.0354195370587,0.000341305551893,2247
Ectorhinal area,ENT ML,0.035414263563,0.000230333053984,6577
Ventral auditory area,TR,0.035406436239,0.00222079004537,84
posteromedial visual area,NP PPP/RSP,0.0353787314724,0.00166977694703,284
"Retrosplenial area, ventral part",RSP/ACA ML,0.0352974190361,9.07042532579e-05,34581
Anteromedial visual area,RSP/ACA ML,0.0352358775479,0.00198111268725,112
Posterolateral visual area,L6 CT,0.0352125954148,0.000261413865515,5611
Dorsal auditory area,AON,0.0350897312164,0.00713889255282,3
Secondary motor area,L4/5 IT,0.035057933707,0.00239227307819,19
Posterolateral visual area,HIP SUB,0.0350252878666,0.00188550533198,200
Perirhinal area,TT,0.0349972277153,0.0060318880713,41
Anterior area,LA,0.0349712371826,0.00152778625488,2
"Retrosplenial area, lateral agranular part",ENT ML,0.0349363779443,0.00130365808401,371
Temporal association areas,L2/3 IT,0.0346894684295,0.000109531652888,46514
Supplemental somatosensory area,L5 IT,0.0346403801535,0.00128294316321,635
Primary auditory area,L2/3 IT,0.0346090567546,0.00010350169816,48522
Temporal association areas,L4/5 IT,0.0345104651094,0.000129750318153,29360
Supplemental somatosensory area,L2/3 IT,0.0345099244223,0.000614059355527,2744
Postrhinal area,AON,0.0345044965329,0.00161543792366,46
Posterolateral visual area,PIR UL,0.0343748923062,0.000938421098956,294
