label,cell_type,mean_loss_increase,sem,n_groups,mean_n_dropped,error_rate_increase
Anteromedial visual area,L2/3 IT,0.143128895175,0.256312527722,92,9.45652173913,0.0108695652174
Visceral area,EPd,0.141996659679,0.102316180427,21,2.52380952381,0.047619047619
"Anterior cingulate area, dorsal part",ENT L6b,0.141787409782,0.0,1,1.0,0.0
"Primary somatosensory area, nose",L6 CT,0.140947605026,0.074771342028,269,5.12639405204,0.00371747211896
Anteromedial visual area,NP,0.14087875868,0.0607571906927,52,1.65384615385,0.0192307692308
"Agranular insular area, ventral part",ENT L6b,0.140603234371,0.047670002061,3,1.0,0.0
"Retrosplenial area, dorsal part",HIP SUB,0.139877228905,0.163081623154,5,1.2,-0.2
Dorsal auditory area,L5 ET,0.135983515065,0.120673754133,54,3.27777777778,0.0
"Primary somatosensory area, barrel field",HIP CA1,0.135511595562,0.136110623085,3,1.0,0.0
"Agranular insular area, ventral part",L6b/CT,0.135201446341,0.0653299282279,32,3.78125,0.0
"Retrosplenial area, dorsal part",PIR UL,0.134673418477,0.0635529919405,20,1.0,0.05
Gustatory areas,COA,0.134417440121,0.150144600624,3,1.0,0.0
Temporal association areas,ENT DL,0.134365153929,0.0732481754564,127,2.75590551181,0.0472440944882
"Anterior cingulate area, ventral part",L5 ET,0.13383793491,0.0629393563265,150,4.30666666667,0.0133333333333
Temporal association areas,L6b,0.132362063448,0.079999568242,69,3.86956521739,0.0289855072464
Primary visual area,L5 ET,0.132354562358,0.0357063464774,341,3.26686217009,0.0293255131965
Perirhinal area,L6b/CT,0.132273642263,0.079969379478,8,1.0,0.0
Anterior area,RSP/ACA UL,0.132211521061,0.127458973776,9,1.0,0.0
Secondary motor area,L6b/CT,0.13123995253,0.155997129968,23,2.0,0.0
"Retrosplenial area, dorsal part",COA,0.130538225174,0.272745203701,3,1.33333333333,0.0
Posterolateral visual area,AON,0.128549814224,0.0,1,1.0,0.0
"Primary somatosensory area, unassigned",L6b,0.127237372492,0.206053000778,38,2.39473684211,-0.0263157894737
"Primary somatosensory area, barrel field",PIR UL,0.126702317037,0.0578536448039,20,1.05,0.15
Posterolateral visual area,ENT DL,0.126552249064,0.104889319799,21,2.85714285714,0.0
