dataset,method,group_size,metric,mean,std,n_runs
combat,cellcnn,2,group_accuracy,0.24164249114920824,0.03036285439895593,6
combat,cellcnn,4,group_accuracy,0.24723178162377557,0.06566165709163782,6
combat,cellcnn,8,group_accuracy,0.27813182758069505,0.10703852232268465,5
combat,cellcnn,16,group_accuracy,0.3107898028423342,0.12672796297576572,5
combat,cellcnn,32,group_accuracy,0.3312001064660321,0.13598818672096452,5
combat,cellcnn,64,group_accuracy,0.341072822407972,0.1406742422160492,5
combat,cellcnn,128,group_accuracy,0.35556297457857716,0.12424557972594849,5
combat,cellcnn,256,group_accuracy,0.38835827289249364,0.15665176476597073,5
combat,cellcnn,512,group_accuracy,0.48370297308440663,0.10602428907456804,5
combat,cellcnn,2,group_balanced_accuracy,0.3570736545166427,0.017856040017283834,6
combat,cellcnn,4,group_balanced_accuracy,0.34780195832985467,0.04233407182601978,6
combat,cellcnn,8,group_balanced_accuracy,0.3238093781824603,0.046255866062647845,5
combat,cellcnn,16,group_balanced_accuracy,0.32415909407740956,0.03249699089882141,5
combat,cellcnn,32,group_balanced_accuracy,0.32974696488054056,0.013835639969762321,5
combat,cellcnn,64,group_balanced_accuracy,0.3365807288992957,0.011851610179130058,5
combat,cellcnn,128,group_balanced_accuracy,0.3505737119983222,0.021788772029147228,5
combat,cellcnn,256,group_balanced_accuracy,0.4186483731800411,0.07526029415141523,5
combat,cellcnn,512,group_balanced_accuracy,0.5823812716728631,0.13641619586764903,5
combat,cellcnn,2,donor_majority_accuracy,0.16666666666666666,0.06876736437941247,6
combat,cellcnn,4,donor_majority_accuracy,0.23529411764705885,0.13413828530578095,6
combat,cellcnn,8,donor_majority_accuracy,0.3058823529411765,0.1578400925293969,5
combat,cellcnn,16,donor_majority_accuracy,0.3411764705882353,0.14646940703516154,5
combat,cellcnn,32,donor_majority_accuracy,0.3411764705882353,0.14646940703516154,5
combat,cellcnn,64,donor_majority_accuracy,0.3411764705882353,0.14646940703516154,5
combat,cellcnn,128,donor_majority_accuracy,0.3411764705882353,0.14646940703516154,5
combat,cellcnn,256,donor_majority_accuracy,0.3764705882352941,0.17449878793166268,5
combat,cellcnn,512,donor_majority_accuracy,0.4588235294117647,0.11314931800983145,5
combat,cellcnn,2,donor_majority_balanced_accuracy,0.3626543209876543,0.04551815186343407,6
combat,cellcnn,4,donor_majority_balanced_accuracy,0.35833333333333334,0.22354467612140133,6
combat,cellcnn,8,donor_majority_balanced_accuracy,0.3055555555555555,0.149265175418088,5
combat,cellcnn,16,donor_majority_balanced_accuracy,0.3333333333333333,0.0,5
combat,cellcnn,32,donor_majority_balanced_accuracy,0.3333333333333333,0.0,5
combat,cellcnn,64,donor_majority_balanced_accuracy,0.3333333333333333,0.0,5
combat,cellcnn,128,donor_majority_balanced_accuracy,0.3333333333333333,0.0,5
combat,cellcnn,256,donor_majority_balanced_accuracy,0.4222222222222222,0.14487116456005886,5
combat,cellcnn,512,donor_majority_balanced_accuracy,0.5542022792022793,0.16604006263592788,5
combat,scagg,2,group_accuracy,0.4206727367359724,0.12284769888988809,6
combat,scagg,4,group_accuracy,0.4155148369380309,0.2098436236428087,6
combat,scagg,8,group_accuracy,0.30903298784832206,0.2528774307678044,5
combat,scagg,16,group_accuracy,0.29780424788765913,0.1666177249436537,5
combat,scagg,32,group_accuracy,0.33232485010475715,0.1867466196543464,5
combat,scagg,64,group_accuracy,0.39648114229553605,0.18191213458696126,5
combat,scagg,128,group_accuracy,0.4936756408504325,0.15803199333850135,5
combat,scagg,256,group_accuracy,0.3440867801393421,0.13580138606416714,5
combat,scagg,512,group_accuracy,0.36470588235294116,0.1784205986835659,5
combat,scagg,2,group_balanced_accuracy,0.39107076552736814,0.057121641061528367,6
combat,scagg,4,group_balanced_accuracy,0.47525598853905016,0.11342265244745661,6
combat,scagg,8,group_balanced_accuracy,0.4589662715292234,0.1451406886162484,5
combat,scagg,16,group_balanced_accuracy,0.39517284670082964,0.0530282091168644,5
combat,scagg,32,group_balanced_accuracy,0.414529524278752,0.1321501220448938,5
combat,scagg,64,group_balanced_accuracy,0.4429259664735268,0.1271852466326727,5
combat,scagg,128,group_balanced_accuracy,0.4070737145210262,0.10756262826018341,5
combat,scagg,256,group_balanced_accuracy,0.4054210989743224,0.10906285002118007,5
combat,scagg,512,group_balanced_accuracy,0.39999999999999997,0.14907119849998599,5
combat,scagg,2,donor_majority_accuracy,0.4705882352941177,0.2232195995412974,6
combat,scagg,4,donor_majority_accuracy,0.45098039215686275,0.26999081534209424,6
combat,scagg,8,donor_majority_accuracy,0.3058823529411765,0.29234761505386303,5
combat,scagg,16,donor_majority_accuracy,0.30588235294117644,0.18320484120467573,5
combat,scagg,32,donor_majority_accuracy,0.3294117647058824,0.19331384382535274,5
combat,scagg,64,donor_majority_accuracy,0.388235294117647,0.17938765508208124,5
combat,scagg,128,donor_majority_accuracy,0.49411764705882355,0.15893242454242698,5
combat,scagg,256,donor_majority_accuracy,0.3411764705882353,0.13413828530578092,5
combat,scagg,512,donor_majority_accuracy,0.36470588235294116,0.1784205986835659,5
combat,scagg,2,donor_majority_balanced_accuracy,0.4444444444444444,0.17213259316477408,6
combat,scagg,4,donor_majority_balanced_accuracy,0.5069444444444445,0.17562718299684535,6
combat,scagg,8,donor_majority_balanced_accuracy,0.4666666666666666,0.18257418583505536,5
combat,scagg,16,donor_majority_balanced_accuracy,0.40092592592592596,0.10894886859017025,5
combat,scagg,32,donor_majority_balanced_accuracy,0.4166666666666667,0.14433756729740643,5
combat,scagg,64,donor_majority_balanced_accuracy,0.43968253968253973,0.1396915581504241,5
combat,scagg,128,donor_majority_balanced_accuracy,0.4111111111111111,0.10829771494232181,5
combat,scagg,256,donor_majority_balanced_accuracy,0.4031746031746032,0.10564800820503964,5
combat,scagg,512,donor_majority_balanced_accuracy,0.39999999999999997,0.14907119849998599,5
combat,scrat,2,group_accuracy,0.7823529411764706,0.0553266487534148,6
combat,scrat,4,group_accuracy,0.7880392156862746,0.03296987545363056,6
combat,scrat,8,group_accuracy,0.7865882352941176,0.07793440592124623,5
combat,scrat,16,group_accuracy,0.78,0.09850087383027992,5
combat,scrat,32,group_accuracy,0.8218823529411765,0.08419617889068591,5
combat,scrat,64,group_accuracy,0.8061176470588235,0.06358058940809663,5
combat,scrat,128,group_accuracy,0.7595294117647059,0.11286639681238948,5
combat,scrat,256,group_accuracy,0.8327058823529411,0.044979041639981766,5
combat,scrat,512,group_accuracy,0.8131764705882354,0.10368437600231592,5
combat,scrat,2,group_balanced_accuracy,0.7831473680640347,0.0933086608927297,6
combat,scrat,4,group_balanced_accuracy,0.7994855854022521,0.06832518524026962,6
combat,scrat,8,group_balanced_accuracy,0.8126146927146927,0.0956423475864537,5
combat,scrat,16,group_balanced_accuracy,0.8342157102157103,0.08964219228551673,5
combat,scrat,32,group_balanced_accuracy,0.8698583638583639,0.07201075681661909,5
combat,scrat,64,group_balanced_accuracy,0.788858201058201,0.1242736600748259,5
combat,scrat,128,group_balanced_accuracy,0.723688074888075,0.1749118665698263,5
combat,scrat,256,group_balanced_accuracy,0.8594159544159545,0.07551285930971553,5
combat,scrat,512,group_balanced_accuracy,0.8073015873015873,0.12729830924410246,5
